f,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,assocRake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleName,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
457,Ame18fieldstation-259,Point,120.1280128,-21.1770051,"Highly banded gneiss_ full of swirly pegmatites.

0.38
0.20
0.79
0.36",305,78,,,,,,foliation,gneissic_folia,,,,,,,AME18_152 a b,,15288707498606.jpg,15288707421991.jpg,,,,,,,,
460,Ame18fieldstation-261,Point,120.128301,-21.16458961,"Fine grained mildly banded gneiss.

0.05
0.01
0.06
0.06",65,80,,,,,,foliation,gneissic_folia,,,,,,,AME18_154 a b,H n,15288729257324.jpg,,,,,,,,,
461,Ame18fieldstation-262,Point,120.1194638,-21.15045907,"Coarse grained granite gneiss with some banding. Amphibole.

2.39
0.94
0.70
1.30",352,82,,,,,,foliation,gneissic_folia,,,,,,,AME18_155 a b,H n,15288748105289.jpg,15288744073428.jpg,,,,,,,,
463,Ame18fieldstation-263,Point,120.1205087,-21.14120445,"Partially migmatite gneiss.

0.63
0.51
0.14
1.92

Two pretty crappy samples.",286,85,,,,,,foliation,gneissic_folia,,,,,,,AME18_156 a b,H n,15288778279448.jpg,15288763839083.jpg,15288763667429.jpg,,,,,,,
466,Ame18fieldstation-264,Point,120.1216,-21.13730434,100 x 10 m boulder pavement. Banded gneiss with coarse grain size. Some migmatization and or pegmatites. More mafic_ but still granitic/dioritic dikes cut roughly perpendicular to the gneissic fabric.,200,57,,,,,,foliation,gneissic_folia,,,,,,,AME18_157 a b,"A: hn
B: h n and strike dip of surface.",15289367566627.jpg,15289362144948.jpg,15289362025172.jpg,15289361948640.jpg,,,,,,
470,Ame18fieldstation-265,Point,120.1194197,-21.13296213,Boulder field. Right next to GSWA geochron blast site. Medium grained banded gneiss. Across the outcrops_ the foliation weakened dramatically. By Rosses sample_ 50 m to the north_ there is barely a fabric at all,290,70,,,,,,foliation,mineral_alignm,,,,,,,AME18_158 A b,H n,15289390348560.jpg,15289389762041.jpg,,,,,,,,
472,Ame18fieldstation-266,Point,120.10856,-21.1314047,Small outcropof massive fine to medium grained granite.,173,66,,,,,,foliation,mineral_alignm,,,,,,,AME18_159 a b,H n,15289427245941.jpg,,,,,,,,,
63,Ame18fieldstation-32,Point,119.9254142,-21.31819557,Coarse grained banded gneiss. Less than 1 cm mafic bands_ with thicker felsic horizons. Quartz plag hornblend biotite. Kspar. Foliatio,96,50,,,,,,,,,,,,,,AME18_016,Horizontal and north,,,,,,,,,,
473,Ame18fieldstation-267,Point,120.1006738,-21.12707133,Medium grained foliated granite.,172,77,,,,,,foliation,mineral_alignm,,,,,,,AME18_160 a b,H n,15289454817435.jpg,,,,,,,,,
475,Ame18fieldstation-268,Point,120.0875586,-21.12545509,Granite pavement next to the quartz range. Medium grained weakly foliated granite. Foliation is hard to pick out may be multiple.,96,85,,,,,,foliation,mineral_alignm,,,,,,,AME18_161 a b,H n,15289469558728.jpg,,,,,,,,,
477,Ame18fieldstation-269,Point,120.0817117,-21.11727763,Medium grained granitic rock. Weak foliation maybe present.,320,71,,,,,,foliation,mineral_alignm,,,,,,,AME18_162 a b,H n,15289557005141.jpg,,,,,,,,,
479,Ame18fieldstation-271,Point,120.1156585,-21.12069421,Outcrops next to the talga river_ medium grainedgranific rock. Samples are 10 m apart.,265,66,,,,,,foliation,gneissic_folia,,,,,,,AME18_164 A b,H n,15289626983630.jpg,,,,,,,,,
480,Ame18fieldstation-272,Point,119.9920134,-21.26642379,"Fine grained granitoid with euhedral  amphiboles. In contact with a more strongly deformed medium to coarse grained granitoid. See pic. 

3.24
3.76
4.77
3.11",230,66,,,,,,foliation,mineral_alignm,,,,,,,AME18_165 A b,H n,15291203217028.jpg,15291202251964.jpg,15291202178153.jpg,15291202067936.jpg,,,,,,
484,Ame18fieldstation-273,Point,119.9942161,-21.26644533,Coarse grained granitoid_ L > S tectonite.,316,52,,,72,,,foliation,gneissic_folia,,,,,,,AME18_166,H n and foliation_ 316 52,15291221266095.jpg,15291221199372.jpg,,,,,,,,
486,Ame18fieldstation-274,Point,120.0000278,-21.25485988,Coarse grained foliated gneiss.not good outcrop. Less than 1 m apart.,10,39,,,,,,,,,,,,,,AME18_167 a b,H n,,,,,,,,,,
487,Ame18fieldstation-275,Point,120.0119295,-21.24415288,Two outcrops 30 m apart. Coarse foliated gneiss.,131,37,,,,,,foliation,gneissic_folia,,,,,,,AME18_168 a b,H n,15291293938114.jpg,,,,,,,,,
488,Ame18fieldstation-276,Point,120.0112563,-21.2230263,Coarse grained granitic gneiss. Strongly foliated. Cut by a foliation parallel dike_ and all are displaced along a rrow shear zone.,61,44,,,,,,foliation,gneissic_folia,,,,,,,AME18_169 a b,"H n. 

Problem: sample b sampled right next to shear zone_ so foliation bends. Not good exposure away from shear zone.",15291319695639.jpg,15291314240108.jpg,15291309563919.jpg,,,,,,,
64,Ame18fieldstation-33,Point,119.9258546,-21.31326038,Garnet may be present sampled 1 for a s and a for geochemistry.  Potential garnets have a halo of no biotite around them. Coarse grained gneiss with faint banding. Large horns lends. Biotite present.,130,60,,,,,,foliation,gneissic_folia,,,,,,,AME18_017,Horizontal and north.,15260074429647.jpg,15260074269429.jpg,,,,,,,,
491,Ame18fieldstation-277,Point,120.0203671,-21.21040812,Wall of foliated granite right next to a fortescue aged dike. Sampled as far from the dike as possible_ about 15 m. Two superimposed foliation. One_ defined by mafic bands_ is shallowly dipping. The other_ defined by felsic bands_ is vertical.,175,28,,,,,,foliation,gneissic_folia,,,,,,,AME18_170 a b,H n,15291336622813.jpg,15291332092040.jpg,,,,,,,,
493,Ame18fieldstation-278,Point,120.0220582,-21.19694417,"Swirly gneiss. 


0.02
0.03
0.02
0.02",222,68,,,,,,foliation,gneissic_folia,,,,,,,AME18_171 A b,H n,15291360177287.jpg,,,,,,,,,
495,Ame18fieldstation-279,Point,119.8557638,-21.19693178,"Banded biotite gneiss. Slightly migmritic. 

0.04
0.05
0.06
0.02",180,55,,,,,,foliation,mineral_alignm,,,,,,,AME18_172 a b,H n,15292068018003.jpg,15292065392239.jpg,,,,,,,,
497,Ame18fieldstation-280,Point,119.8530141,-21.20667221,"Migmatiticgneiss pavement. 

0.03
0.01
0.01
0.06

Felsic bands are chiock full of amphibole.",102,84,,,,,,foliation,,,,,,,,AME18_173 a b,H n,15292085601262.jpg,,,,,,,,,
498,Ame18fieldstation-281,Point,119.8486381,-21.21771588,"Foliated granitoid. Medium grained.

1.96
1.24
1.18
1.74",164,46,,,,,,foliation,mineral_alignm,,,,,,,AME18_174 a b,H n,15292142896763.jpg,,,,,,,,,
499,Ame18fieldstation-282,Point,119.8507925,-21.22605327,"Medium grained granitoid_ foliated. 

0.07
0.46
0.00
0.34",134,70,,,,,,foliation,mineral_alignm,,,,,,,AME18_175 a b,H n,15292155695315.jpg,,,,,,,,,
500,Ame18fieldstation-283,Point,119.8481413,-21.2357443,"Foliated granitoid. Lots of amphibole. 

2.07
1.08
2.95
1.03",92,76,,,,,,foliation,mineral_alignm,,,,,,,AME18_176 a b,H n,15292165894237.jpg,,,,,,,,,
501,Ame18fieldstation-284,Point,119.8452015,-21.24435855,"Foliated granitoid. 

1.41
1.59
1.44
1.00",255,60,,,,,,foliation,mineral_alignm,,,,,,,AME18_177 a b,H n,15292181757564.jpg,,,,,,,,,
503,Ame18fieldstation-285,Point,120.2364978,-21.040871,"Strongly foliated granite gneiss. Medium grained with feldspar phenocrysts. 

1.43
2.16
1.79
1.68",286,81,,,,,,foliation,gneissic_folia,,,,,,,AME18_178 A b,H n,15292830847709.jpg,,,,,,,,,
504,Ame18fieldstation-286,Point,120.2273143,-21.04558528,"Corse. A dead gneiss. 

0.47
0.54
0.65
0.65

Next outcrop over_ about 100 m has peg oriented trending 035 recording sinistral offset.",285,58,,,,,,foliation,gneissic_folia,,,,,,,AME18_179 a b,H n,15292848748866.jpg,15292845040121.jpg,15292843802810.jpg,,,,,,,
507,Ame18fieldstation-287,Point,120.2159801,-21.05733243,"Foliated granitoid. Near a black range dike (200 m)

1.70
0.84
0.78
1.10",281,60,,,,,,foliation,gneissic_folia,,,,,,,AME18_180 a b,"H n

Sample b may be out of place by a few degrees_ slightly slumped?",15292872359512.jpg,,,,,,,,,
508,Ame18fieldstation-288,Point,120.2152843,-21.08117488,"0.08
0.05
0.04
0.08",255,73,,,,,,foliation,mineral_alignm,,,,,,,AME18_181 a b,H n,15292903591760.jpg,,,,,,,,,
509,Ame18fieldstation-289,Point,120.226613,-21.0813989,"Gneiss. Medium grained.

0.05
0.04
0.05
0.05",282,74,,,,,,foliation,gneissic_folia,,,,,,,AME18_182 a b,,15292925613235.jpg,15292924986391.jpg,,,,,,,,
511,Ame18fieldstation-290,Point,120.2395282,-21.09019272,Medium grained granitoid.,275,81,,,,,,foliation,mineral_alignm,,,,,,,AME18_183 a b,H n,15292944127544.jpg,,,,,,,,,
512,Ame18fieldstation-291,Point,120.1851494,-21.09896093,"Medium to coarse gneiss. 

0.10
0.05
0.10
0.08",286,77,,,,,,foliation,gneissic_folia,,,,,,,AME18_184 A b,H n,15292996356960.jpg,,,,,,,,,
513,Ame18fieldstation-292,Point,120.1808867,-21.0844536,"Pavement with a contact between massive pegmatite intrusions and banded gneiss

0.04
0.01
0.07
0.05",131,82,,,,,,foliation,gneissic_folia,,,,,,,AME18_185 a b,H n,15293017139404.jpg,15293017072700.jpg,,,,,,,,
515,Ame18fieldstation-293,Point,120.1822921,-21.07620249,Foliated granite.,316,58,,,,,,foliation,mineral_alignm,,,,,,,AME18_186 a b,H n,15293050297887.jpg,,,,,,,,,
516,Ame18fieldstation-294,Point,120.1771045,-21.04659928,"Medium grained banded gneiss.

0.06
0.12
0.14
0.06",325,82,,,,,,foliation,gneissic_folia,,,,,,,AME18_187 A b,H n,15293070194901.jpg,,,,,,,,,
517,Ame18fieldstation-295,Point,120.1786819,-21.02863675,Gneiss. Banded.,289,66,,,,,,foliation,gneissic_folia,,,,,,,AME18_188 a b,H n,15293090780955.jpg,,,,,,,,,
66,Ame18fieldstation-34,Point,119.9265357,-21.30531093,,109,67,,,,,,,,,,,,,,AME18_018A,H n,15260097241288.jpg,,,,,,,,,
70,Ame18fieldstation-36,Point,119.9235212,-21.28033045,,65,55,,,,,,,,,,,,,,AME18_019,H n,,,,,,,,,,
520,Ame18fieldstation-298,Point,120.1550932,-21.1985867,"Medium grained foliated granite. 

0.90
0.22
1.47
0.12

Occasiol large feldspar (pic)",331,74,,,,,,foliation,mineral_alignm,,,,,,,AME18_191 a b,H n,15294604765550.jpg,15294600450748.jpg,,,,,,,,
522,Ame18fieldstation-299,Point,120.1556824,-21.20666498,"Medium to coarse grained granitic rock. 

1.41
0.18
0.66
1.23",178,77,,,,,,foliation,mineral_alignm,,,,,,,AME18_192,H n,15294621721693.jpg,,,,,,,,,
523,Ame18fieldstation-300,Point,120.1622222,-21.21678555,Banded gneiss with some migmitizatuon. Gneiss seems swirly_ and we sampled a more homogeneous foliated granite in contact with the gneiss. Foliation s of gneiss and granite are perpendicular.,258,71,,,,,,,,,,,,,,AME18_193 a b,H n,15294650029296.jpg,15294647332743.jpg,15294634726059.jpg,,,,,,,
526,Ame18fieldstation-301,Point,120.1758902,-21.23858383,"Medium to fine grained banded gneiss. 

1.70
1.31
1.49
1.12",76,60,,,,,,,,,,,,,,AME18_194 a b,H n,15294694753683.jpg,,,,,,,,,
527,Ame18fieldstation-302,Point,120.2005556,-21.25951827,Weathered outcrop of mixed lithologies. Some banded gneiss_ aplite_ and medium grained granite. Sampled the granite.,185,75,,,,,,foliation,gneissic_folia,,,,,,,AME18_195 a b,H n,15294734431284.jpg,,,,,,,,,
528,Ame18fieldstation-303,Point,120.2190997,-21.26694099,"2.98
3.97
3.41
4.19

Amphibole magnetite medium granitoid. Strong foliation.",115,84,,,,,,foliation,mineral_alignm,,,,,,,AME18_196 a b,H n,15294754111375.jpg,,,,,,,,,
529,Ame18fieldstation-304,Point,120.2255987,-21.25630268,"Amphibole granite with thick aplite cutting the outcrop. Coarse grained amphiboles. 

1.10
0.29
0.18
0.08",130,75,,,,,,foliation,mineral_alignm,,,,,,,AME18_197 a b,H n,15294772765282.jpg,15294771480009.jpg,15294771000710.jpg,,,,,,,
534,Ame18fieldstation-308,Point,119.944957,-21.350845,Large pavement outcrop of mostly quartzofeldspathic schist_ with some 5 to 10 cm chlorite schist interbedded. In one area of the outcrop_ large (0.5 cm) porphyroclasts of magnetite_ amphibole_ and or garnet are present.,120,87,292,70,110,,,foliation,schistosity,,,,,,,AME18_198 a,298 84 overturned,15297151717221.jpg,15297151777167.jpg,15297176861071.jpg,,,,,,,
535,Ame18fieldstation-308,Point,119.944957,-21.350845,Large pavement outcrop of mostly quartzofeldspathic schist_ with some 5 to 10 cm chlorite schist interbedded. In one area of the outcrop_ large (0.5 cm) porphyroclasts of magnetite_ amphibole_ and or garnet are present.,298,89,301,70,70,,,foliation,schistosity,,,,,,,AME18_198 a,298 84 overturned,15297151717221.jpg,15297151777167.jpg,15297176861071.jpg,,,,,,,
549,Ame18fieldstation-319,Point,119.94636,-21.349413,Pod of granitic gneiss l tectonite,114,79,266,67,110,,,foliation,gneissic_folia,,,,,,,AME18_200,114 79,15297271292273.jpg,,,,,,,,,
554,Ame18fieldstation-322,Point,119.947031,-21.349216,Prolomylonite metabasalt. Feldspars show assymetry,118,89,294,76,104,,,foliation,mineral_alignm,,,,,,,AME18_201,290 89,,,,,,,,,,
562,Ame18fieldstation-328,Point,119.953199,-21.35296,Schist with mm sized clasts.,106,89,283,71,109,,,foliation,schistosity,,,,,,,AME18_202,106 89 rake 109,15297357143716.jpg,15297359648114.jpg,,,,,,,,
579,Ame18fieldstation-337,Point,119.944591,-21.34944,Very strong lineation.,115,82,276,67,112,,,foliation,plar_schistosity,,,,,,,AME18_204,115 82 overturned.,15298045427183.jpg,,,,,,,,,
582,Ame18fieldstation-340,Point,119.943294,-21.348068,Flexural shearing showing dextral motion. Quartzofeldspathic schist is foliated at a higher angle to bedding than chlorite schist. Boundary between them has garnets. Sampled garnets.,124,70,256,64,107,,,bedding,,,,,,,,AME18_205a b,124 70,15298078479855.jpg,15298086704761.jpg,,,,,,,,
594,Ame18fieldstation-345,Point,119.937183,-21.343243,Medium grained granitic gneiss,108,85,,,,,,foliation,gneissic_folia,,,,,,,AME18_206,H n,15298153747071.jpg,,,,,,,,,
595,Ame18fieldstation-346,Point,119.937017,-21.34183,Large outcrop of a Marcus rich granitic gneiss.,126,71,242,69,99,,,foliation,gneissic_folia,,,,,,,AME18_207,126 71.,15298163456396.jpg,,,,,,,,,
608,Ame18fieldstation-356,Point,119.93538,-21.342257,YZ plane shows sinistral sos.,100,86,269,70,110,,,foliation,gneissic_folia,,,,,,,AME18_208,100 86,15298233049513.jpg,,,,,,,,,
611,Ame18fieldstation-359,Point,119.937386,-21.344005,Euhadral magnetite! Chlorite schist with zones of intense crenulation.,92,71,182,71,90,,,foliation,schistosity,,,,,,,AME18_209,092 61,15298248832025.jpg,,,,,,,,,
71,Ame18fieldstation-37,Point,119.9117636,-21.25971193,Chaotic banded gneiss with pegmatites .,280,70,,,,,,,,,,,,,,AME18_20b,,15260149972556.jpg,15260149739294.jpg,15260149461214.jpg,15260149314510.jpg,15260145593296.jpg,,,,,
72,Ame18fieldstation-37,Point,119.9117636,-21.25971193,Chaotic banded gneiss with pegmatites .,266,64,,,,,,,,,,,,,,AME18_20b,,15260149972556.jpg,15260149739294.jpg,15260149461214.jpg,15260149314510.jpg,15260145593296.jpg,,,,,
616,Ame18fieldstation-363,Point,119.945526,-21.350672,Very stripy paragneiss in riverbed outcrop.,127,85,,,112,,,foliation,gneissic_folia,,,,,,,AME18_210,12785,15298285664847.jpg,,,,,,,,,
637,Ame18fieldstation-376,Point,119.961657,-21.360434,Coherent strong fabric_ ridge forming unit.,150,72,230,72,87,,,foliation,schistosity,,,,,,,AME18_211,147 77,15298966437080.jpg,,,,,,,,,
645,Ame18fieldstation-381,Point,119.96279,-21.361219,Garnets!,154,68,285,62,108,,,foliation,gneissic_folia,,,,,,,AME18_213 a,,15299058737314.jpg,,,,,,,,,
646,Ame18fieldstation-381,Point,119.96279,-21.361219,Garnets!,162,70,269,69,96,,,foliation,gneissic_folia,,,,,,,AME18_213 a,,15299058737314.jpg,,,,,,,,,
648,Ame18fieldstation-382,Point,119.963357,-21.361428,Garnet bearing felsic sees and amphibolite in igneous contact with weakly foliated granite.,115,75,,,,,,foliation,schistosity,,,,,,,AME18_214,H n,15299085846436.jpg,15299086627060.jpg,15299087009078.jpg,,,,,,,
689,Ame18fieldstation-419,Point,119.938933,-21.355659,,110,85,272,74,105,,,bedding,,,,,,,,AME18_216,,15301471686845.jpg,,,,,,,,,
698,Ame18fieldstation-428,Point,119.939344,-21.355808,Another sinistral fault with slickenlines. This one also preserves fault breccia. Sampled fault breccia.,219,84,221,16,16,,,fault,,,,,,,,AME18_217,H n,15301506056223.jpg,,,,,,,,,
705,Ame18fieldstation-435,Point,119.939824,-21.356077,,144,84,300,76,103,,,bedding,,,,,,,,AME18_218,144 84,15301535283711.jpg,,,,,,,,,
761,Ame18fieldstation-479,Point,119.937954,-21.355378,,200,77,,,,,,foliation,crenulation_cl,,,,,,,AME18_222,H n _ perhaps every slightly slumped.,15302431298537.jpg,,,,,,,,,
773,Ame18fieldstation-487,Point,119.93823,-21.355928,,61,87,87,83,84,,,bedding,,,,,,,,AME18_223,061 87,,,,,,,,,,
780,Ame18fieldstation-492,Point,119.939977,-21.357014,,290,82,41,81,93,,,bedding,,,,,,,,AME18_224,290 82,15302542585884.jpg,,,,,,,,,
812,Ame18fieldstation-516,Point,119.956897,-21.368155,Shallowly plunging lineation in big chert bed.,147,84,324,30,150,,,bedding,,,,,,,,AME18_226,147 84 overturned.,,,,,,,,,,
813,Ame18fieldstation-517,Point,119.956884,-21.368122,Crenulations with shallowly plunging bands of finer crenulations.,330,83,349,69,70,,,bedding,,,,,,,,AME18_227,H n,15305090573998.jpg,,,,,,,,,
815,Ame18fieldstation-518,Point,119.956862,-21.368064,,308,79,350,74,78,,,foliation,,,,,,,,AME18_228,Face,,,,,,,,,,
838,Ame18fieldstation-539,Point,119.954207,-21.364519,Sampled chert bed. Maybe the pervasive fracture pattern is perpendicular to the moderately dipping folds?,134,82,273,78,99,,,bedding,,,,,,,,AME18_229,134 82,,,,,,,,,,
841,Ame18fieldstation-541,Point,119.95329,-21.364199,Fold in metabasalt.,320,70,,,,,,,,fold,z_fold,110,55,115,80,AME18_230,320 70,15305884196352.jpg,,,,,,,,,
848,Ame18fieldstation-548,Point,119.9530616,-21.36579916,,309,84,84,82,96,,,bedding,,,,,,,,AME18_231,,,,,,,,,,,
857,Ame18fieldstation-556,Point,119.953883,-21.367232,Hydrothermally altered and mineralized chert.,319,59,,,,,,bedding,,,,,,,,AME18_232,319 59 maybe slumped very slightly.,15305967336951.jpg,,,,,,,,,
875,Ame18fieldstation-570,Point,119.962592,-21.361907,,317,86,337,78,79,,,foliation,schistosity,,,,,,,AME18_237,37 86,,,,,,,,,,
878,Ame18fieldstation-572,Point,119.963421,-21.361944,Asymmetric garnets_ showing reverse shear sense I think.,146,76,303,57,120,,,foliation,schistosity,,,,,,,AME18_239,146 76,,,,,,,,,,
891,Ame18fieldstation-582,Point,119.960174,-21.357894,Very large garnets in highly banded paragneiss. Very clear normal shear sense_ greenstone down_ me up.,146,57,271,52,111,,,foliation,gneissic_folia,,,,,,,AME18_241,"237 82 fracture plane. 
146 57",15307690253250.jpg,,,,,,,,,
900,Ame18fieldstation-591,Point,119.961519,-21.359083,Granite intrusion within limb of the large scale (map scale) fold. In contact with felsic schist. We sampled it for AMS to know if the fabric was the same as the green stones.,107,85,276,66,114,,,foliation,schistosity,,,,,,,AME18_242 a b,H n,15307760566320.jpg,15307760803898.jpg,15307769115227.jpg,,,,,,,
911,Ame18fieldstation-596,Point,119.943335,-21.356376,May be the limb of a very tight fold_ the north side of the outcrop is sheared_ and,306,84,63,83,93,,,bedding,,,,,,,,AME18_243,306 84,,,,,,,,,,
938,Ame18fieldstation-614,Point,119.93892,-21.355837,Felsic schist with small porphyroclasts_ very well crenulated.,279,85,311,81,82,,,foliation,schistosity,,,,,,,AME18_245,279 85 overturned.,15308493152860.jpg,,,,,,,,,
953,Ame18fieldstation-626,Point,119.826237,-21.382074,"Porphyritic granitoid with cm kspar and amphibole and mafic enclaves. Very weak foliation defined by amphibole

0.08
0.10
0.23
0.10",20,80,,,,,,foliation,mineral_alignm,,,,,,,AME18_246 a b,H n,15310155596350.jpg,15310155654831.jpg,15310155862858.jpg,15310161744213.jpg,,,,,,
959,Ame18fieldstation-629,Point,119.868,-21.391565,"Very coarse grained kspar amphibole granitoid. 3 cm feldspar laths. foliation defined by quartz blebs.

0.06
0.06
0.07
0.05",137,78,,,,,,foliation,mineral_alignm,,,,,,,AME18_249a b,H n,15310225755950.jpg,15310225963347.jpg,15310235139550.jpg,,,,,,,
962,Ame18fieldstation-630,Point,119.899262,-21.400751,"Contact between very coarse grained porphory and fine grained granitoid. Coarse grained granitoid is entrained in finer grained rock and is locally sheared. 

0.01
0.01
0.03
0.03",126,86,,,,,,foliation,mineral_alignm,,,,,,,AME18_250 a b,H n,15310284027255.jpg,15310284027255.jpg,15310288281453.jpg,15310288564846.jpg,,,,,,
966,Ame18fieldstation-631,Point,119.909457,-21.39739,Porphory with large kspar_ mafic granitoid groundmass.,53,84,,,,,,foliation,mineral_alignm,,,,,,,AME18_251 a b,H n,15310302653817.jpg,15310303497384.jpg,,,,,,,,
968,Ame18fieldstation-632,Point,119.917576,-21.39915,Medium grained granitoid_ porphyritic with k spar in some places.,142,88,,,,,,foliation,mineral_alignm,,,,,,,AME18_252 a b,H n,15310330052595.jpg,,,,,,,,,
969,Ame18fieldstation-633,Point,119.924515,-21.405916,"Coarse grained porphyritic granitoid.

0.09
0.09
0.11
0.05",0,76,,,,,,foliation,mineral_alignm,,,,,,,AME18_253 a b,H n,15310349863149.jpg,,,,,,,,,
970,Ame18fieldstation-634,Point,119.93073,-21.413722,"Medium grained granitoid with occasiol kspar phenocrysts 

0.04
0.05
0.03
0.06",157,81,,,,,,foliation,mineral_alignm,,,,,,,AME18_254 a b,H n,15310950881922.jpg,15310953382214.jpg,,,,,,,,
972,Ame18fieldstation-635,Point,119.936237,-21.421542,"Medium to fine grained granitoid with occasiol feldspars_ looks like magmatic flow fabric? Very weak fabric_ hard to tell. 

0.05
0.02
0.00
0.02",113,80,,,,,,foliation,mineral_alignm,,,,,,,AME18_255 a b,H n,15310969830396.jpg,,,,,,,,,
992,Ame18fieldstation-646,Point,119.950032,-21.157991,"Medium grained granite with mostly magmatic foliation. Very weak.

0.05
0.03
0.06
0.03",60,76,,,,,,foliation,mineral_alignm,,,,,,,AME18_255 a b,H n,15314445513529.jpg,,,,,,,,,
973,Ame18fieldstation-636,Point,119.944149,-21.431863,"Medium coarse grained granitoid_ occasiol mafic enclaves. Also occasiol feldspar laths. 

0.09
0.03
0.03
0.09",78,66,,,,,,foliation,mineral_alignm,,,,,,,AME18_256 a b,H n,15310998283029.jpg,,,,,,,,,
974,Ame18fieldstation-637,Point,119.95456,-21.436695,Medium grained grneissic granitoid_ with incipient banding.,92,84,,,,,,foliation,gneissic_folia,,,,,,,AME18_257 a b,H n,15311010155243.jpg,15311010432779.jpg,,,,,,,,
976,Ame18fieldstation-638,Point,119.968151,-21.434479,"Fine grained banded gneiss 

0.06
0.07
0.04
0.03",125,82,,,,,,foliation,gneissic_folia,,,,,,,AME18_258 a b,H n,15311037986856.jpg,15311038104414.jpg,15311038280826.jpg,,,,,,,
979,Ame18fieldstation-639,Point,119.982293,-21.433528,"Foliated granitoid. Huge outcrop next to black range dike. Has a strong gneissic foliation. 

0.05
0.01
0.04
0.02",149,85,,,,,,foliation,mineral_alignm,,,,,,,AME18_259 a b,H n,15311061500782.jpg,,,,,,,,,
96,Ame18fieldstation-53,Point,120.2355603,-21.30473223,,42,72,,,,,,,,,,,,,,AME18_026,H n. Also_ chops collected for geochemist.,,,,,,,,,,
980,Ame18fieldstation-640,Point,119.985646,-21.421382,"Medium to coarse granitoid.

2.36
2.68
1.27
1.23",330,81,,,,,,foliation,mineral_alignm,,,,,,,AME18_260,H n,15311074667194.jpg,,,,,,,,,
981,Ame18fieldstation-641,Point,120.000708,-21.409188,"Sheared porphyroclastic porphory it’s 2 to 4 cm kspar_ incipient SC fabric. Bookcase feldspar. 

0.02
0.07
0.03
0.05",301,68,,,,,,foliation,gneissic_folia,,,,,,,AME18_261 a b,H n,15311121940757.jpg,15311122176276.jpg,15311123315109.jpg,15311124234284.jpg,,,,,,
985,Ame18fieldstation-642,Point,119.977228,-21.393821,"Huge phenocrysts of kspar_  mafic enclaves 

0.04
0.04
0.02
0.05",345,75,,,,,,foliation,mineral_alignm,,,,,,,AME18_262 a b,H n,15311165105097.jpg,15311165463129.jpg,,,,,,,,
987,Ame18fieldstation-644,Point,119.90897,-21.366229,Same porphory granitoid. Very weak foliation. Some feldspars are highly zoned_ with a more plag composition in the rim (?),289,56,,,,,,foliation,mineral_alignm,,,,,,,AME18_264 a b,H n,15311223993191.jpg,15311224903989.jpg,15311224903989.jpg,,,,,,,
990,Ame18fieldstation-645,Point,119.947513,-21.1675,"Banded gneiss

0.03
0.04
0.08
0.07",206,17,,,,,,foliation,gneissic_folia,,,,,,,AME18_265 a b,H n,15314429090790.jpg,15314429488996.jpg,,,,,,,,
993,Ame18fieldstation-647,Point,119.950326,-21.154637,"Medium grained foliated granite. 

0.03
0.04
0.00
0.04",45,79,,,,,,foliation,mineral_alignm,,,,,,,AME18_267 a b,H n,15314457543736.jpg,,,,,,,,,
994,Ame18fieldstation-648,Point,119.950308,-21.146458,"Medium grained foliated granitoid. 

0.00
0.03
0.05
0.01",10,61,,,,,,foliation,mineral_alignm,,,,,,,AME18_268 a b,H n,15314472144710.jpg,,,,,,,,,
996,Ame18fieldstation-650,Point,120.00075,-21.161611,"Nearly equals grained granite_ medium to coarse. 

0.03
0.05
0.03
0.02",168,82,,,,,,foliation,mineral_alignm,,,,,,,AME18_269 a b,H n,15314610087801.jpg,,,,,,,,,
997,Ame18fieldstation-651,Point,120.004382,-21.163163,"Very fresh outcrop of medium to coarse granitoid.
0.05
0.01
0.04
0.00",169,75,,,,,,foliation,mineral_alignm,,,,,,,AME18_270 a b,H n,15314636788786.jpg,,,,,,,,,
999,Ame18fieldstation-652,Point,120.008056,-21.165974,"Medium grained granitoid

0.01
0.00
0.05
0.00

Weak to no discernible foliation.",1,81,,,,,,foliation,mineral_alignm,,,,,,,AME18_271 a b,H n,15314659863001.jpg,,,,,,,,,
1000,Ame18fieldstation-653,Point,120.013477,-21.166312,Medium to coarse granite.,339,85,,,,,,foliation,mineral_alignm,,,,,,,AME18_272 a b,H n,15314674391294.jpg,,,,,,,,,
1001,Ame18fieldstation-654,Point,119.79887,-21.29428,0.5 m wide chert bed next to a basalt,291,81,295,24,24,,,bedding,,,,,,,,AME18_273,291 81,15315352439831.jpg,,,,,,,,,
1002,Ame18fieldstation-655,Point,119.798328,-21.298183,2 m wide chert unit with en echelon tension gashes.,286,79,,,,,,bedding,,,,,,,,AME18_274,286 79,15315361807820.jpg,,,,,,,,,
1004,Ame18fieldstation-656,Point,119.794611,-21.303679,3 meter wide outcrop of chert_ may be thicker. Very Stripey.,79,89,259,24,156,,,bedding,,,,,,,,AME18_275,079 89 overturned.,15315384526877.jpg,15315387350941.jpg,,,,,,,,
